Club,Date,Club Path,Face Angle,Face To Path,Club Speed,Attack Angle,Ball Speed,Spin Rate,Carry,Side,Smash Factor
3 WOOD,"January 13, 2026",2.8,3.1,0.3,82.7,0.0,121.6,3757,184.3,43.4R,1.47
3 WOOD,"January 13, 2026",3.0,-0.3,-3.3,82.9,-0.8,122.2,3256,187.0,18.7L,1.48
5 WOOD,"August 24, 2025",5.7,2.0,-3.7,82.6,0.1,119.5,4739,173.3,13.4L,1.45
5 WOOD,"August 24, 2025",6.3,4.5,-1.8,81.8,0.3,119.0,4237,177.2,29.9R,1.45
5 WOOD,"August 24, 2025",7.3,0.5,-6.8,82.6,0.1,119.7,3569,178.9,50.9L,1.45
5 WOOD,"August 24, 2025",7.5,3.6,-3.9,82.2,0.1,121.4,4261,180.3,1.1R,1.48
5 WOOD,"August 24, 2025",7.3,4.2,-3.1,82.3,-0.5,119.8,3757,181.4,23.2R,1.45
5 WOOD,"January 15, 2026",1.2,2.1,0.9,84.5,0.0,124.5,4589,184.9,34.1R,1.47
5 WOOD,"January 15, 2026",1.5,-1.1,-2.6,84.6,-0.9,125.0,4546,184.4,31.9L,1.48
5 WOOD,"February 6, 2026",7.5,0.3,-7.2,82.0,-0.9,124.1,3116,179.6,53.8L,1.51
5 WOOD,"February 6, 2026",7.9,2.1,-5.8,82.0,-1.1,124.1,3184,180.9,30.5L,1.51
5 WOOD,"February 6, 2026",9.5,3.9,-5.6,82.7,1.1,123.4,2312,177.7,6.6L,1.49
5 WOOD,"February 6, 2026",4.8,3.9,-0.9,83.0,1.0,123.4,2404,184.5,33.7R,1.49
5 WOOD,"February 6, 2026",6.8,5.3,-1.5,82.7,0.4,123.3,2621,185.0,37.4R,1.49
5 WOOD,"February 6, 2026",8.3,4.3,-4.0,82.9,-1.3,123.1,3897,181.9,5.6R,1.48
5 WOOD,"February 6, 2026",7.5,1.8,-5.7,82.0,-1.3,123.1,3145,184.8,28.0L,1.5
5 WOOD,"February 6, 2026",7.7,4.2,-3.5,81.9,-1.3,123.5,3551,180.7,8.8R,1.51
5 WOOD,"February 6, 2026",7.5,1.3,-6.2,81.2,-1.9,122.7,2756,182.5,31.6L,1.51
5 WOOD,"February 6, 2026",9.1,4.7,-4.4,82.7,-0.9,125.0,3148,184.5,7.2R,1.51
5 WOOD,"February 6, 2026",7.1,3.8,-3.3,82.2,-1.7,124.1,3497,180.2,7.6R,1.51
5 WOOD,"February 6, 2026",5.8,1.4,-4.4,82.8,-0.6,123.0,3225,184.5,2.5L,1.49
5 WOOD,"February 6, 2026",6.9,2.6,-4.3,82.6,-0.3,123.4,4041,176.8,17.5L,1.49
5 WOOD,"February 6, 2026",8.5,4.2,-4.3,83.5,-2.1,124.4,3125,184.0,5.8R,1.49
5 WOOD,"February 6, 2026",9.3,3.4,-5.9,83.0,-0.3,121.5,2391,180.8,6.6L,1.46
5 WOOD,"February 6, 2026",10.9,5.2,-5.7,81.9,0.3,122.1,2293,181.0,8.9R,1.49
5 WOOD,"February 6, 2026",8.2,3.6,-4.6,83.0,0.8,124.8,2618,180.3,7.0L,1.5
5 WOOD,"February 6, 2026",8.3,4.2,-4.1,82.7,-1.5,122.8,2731,184.1,11.4R,1.48
5 WOOD,"February 6, 2026",8.7,5.2,-3.5,83.1,-0.9,124.0,3782,183.9,19.2R,1.49
5 WOOD,"February 6, 2026",8.9,3.1,-5.8,82.0,-1.5,122.9,3047,184.0,14.9L,1.5
6 HYBRID,"August 25, 2025",7.3,3.1,-4.2,75.9,-1.7,110.4,4898,157.5,1.9R,1.45
6 HYBRID,"August 25, 2025",8.3,1.6,-6.7,76.1,-0.9,106.3,4102,153.3,20.8L,1.4
6 HYBRID,"August 25, 2025",4.4,4.3,-0.1,76.9,-0.4,109.8,4501,158.8,34.8R,1.43
6 IRON,"January 13, 2026",2.8,0.3,-2.5,76.3,-3.0,110.3,5511,153.7,8.8L,1.45
6 IRON,"January 13, 2026",2.6,0.5,-2.1,76.3,-2.2,109.0,5354,152.4,2.6L,1.43
6 IRON,"January 13, 2026",5.0,2.0,-3.0,72.3,-1.8,101.7,3431,145.8,2.8R,1.41
6 IRON,"January 13, 2026",3.6,2.2,-1.4,72.0,-3.6,104.0,4598,146.6,10.8R,1.44
6 IRON,"January 13, 2026",4.2,1.3,-2.9,72.7,-3.4,102.4,4568,142.9,2.6L,1.41
6 IRON,"January 13, 2026",4.0,1.3,-2.7,72.0,-2.0,102.4,3823,146.1,2.4L,1.42
6 IRON,"January 13, 2026",2.6,1.3,-1.3,73.2,-2.2,105.1,4172,150.9,4.6R,1.44
6 IRON,"January 13, 2026",2.0,2.6,0.6,72.8,-3.8,103.4,4603,145.5,22.1R,1.42
6 IRON,"January 15, 2026",1.2,1.8,0.6,73.4,-1.0,106.4,4188,153.7,17.1R,1.45
6 IRON,"January 15, 2026",0.6,0.9,0.3,73.9,-1.2,105.7,4043,153.0,8.6R,1.43
6 IRON,"January 15, 2026",1.8,0.8,-1.0,74.2,-0.8,105.7,4016,152.7,0.5R,1.42
6 IRON,"January 15, 2026",1.4,-1.2,-2.6,74.1,-0.8,105.6,3822,154.0,22.5L,1.43
7 IRON,"August 23, 2025",6.2,2.5,-3.7,72.1,-2.2,103.3,4814,144.9,3.3R,1.43
7 IRON,"August 23, 2025",5.4,3.8,-1.6,72.6,-1.2,101.9,5205,141.0,21.4R,1.4
7 IRON,"August 23, 2025",5.8,3.7,-2.1,73.3,-1.2,101.7,5103,141.0,18.7R,1.39
7 IRON,"August 23, 2025",5.2,2.4,-2.8,72.8,-1.6,101.2,5136,139.8,6.7R,1.39
7 IRON,"August 23, 2025",5.2,2.9,-2.3,73.0,-1.6,104.0,5052,145.3,11.6R,1.42
7 IRON,"August 25, 2025",4.6,1.7,-2.9,72.5,-1.2,102.6,4625,144.3,0.6L,1.41
7 IRON,"August 25, 2025",5.6,2.7,-2.9,73.2,-2.2,102.7,4957,143.1,7.7R,1.4
7 IRON,"September 10, 2025",5.0,5.3,0.3,70.6,-3.0,97.9,5841,131.1,37.4R,1.39
7 IRON,"September 10, 2025",6.2,1.0,-5.2,70.8,-4.4,101.3,5099,136.7,13.2L,1.43
7 IRON,"September 10, 2025",5.0,2.6,-2.4,70.8,-4.0,99.9,5169,135.7,8.8R,1.41
7 IRON,"September 10, 2025",7.4,2.1,-5.3,71.0,-4.6,101.2,4841,139.6,4.5L,1.42
7 IRON,"September 10, 2025",5.8,2.5,-3.3,70.5,-4.0,98.2,5465,131.0,6.0R,1.39
7 IRON,"September 10, 2025",4.0,0.1,-3.9,70.7,-3.4,100.0,5295,135.6,13.8L,1.41
7 IRON,"September 10, 2025",5.8,2.8,-3.0,70.8,-2.2,99.8,4893,137.3,8.4R,1.41
7 IRON,"September 10, 2025",5.0,3.5,-1.5,70.7,-4.0,98.4,5531,132.1,19.7R,1.39
7 IRON,"September 10, 2025",6.2,2.7,-3.5,71.7,-3.2,103.4,4946,143.9,5.4R,1.44
7 IRON,"September 10, 2025",5.2,0.3,-4.9,70.0,-3.4,99.7,4998,136.7,15.4L,1.42
7 IRON,"September 10, 2025",3.6,-0.5,-4.1,70.3,-3.2,98.8,5648,131.6,17.7L,1.41
7 IRON,"September 10, 2025",6.0,2.7,-3.3,71.5,-2.8,102.9,4825,143.3,6.4R,1.44
7 IRON,"September 10, 2025",5.2,1.5,-3.7,70.2,-3.6,100.5,5444,136.5,3.3L,1.43
7 IRON,"September 10, 2025",5.6,3.7,-1.9,70.9,-2.6,101.8,5524,139.1,18.7R,1.43
7 IRON,"September 10, 2025",7.0,3.7,-3.3,72.1,-2.6,101.8,5159,140.3,13.4R,1.41
7 IRON,"September 10, 2025",4.2,2.1,-2.1,71.0,-2.6,101.8,5167,140.5,7.1R,1.43
7 IRON,"September 10, 2025",5.8,3.3,-2.5,70.9,-3.2,100.5,5492,136.9,15.1R,1.42
7 IRON,"September 10, 2025",4.0,1.9,-2.1,71.1,-2.8,101.7,5227,140.2,6.0R,1.43
7 IRON,"September 10, 2025",3.0,1.4,-1.6,70.1,-3.2,99.8,5382,135.6,3.8R,1.42
7 IRON,"September 10, 2025",4.6,4.1,-0.5,70.9,-2.4,100.3,5439,137.1,27.8R,1.41
7 IRON,"September 10, 2025",7.0,1.7,-5.3,71.4,-4.0,101.8,4577,141.7,8.3L,1.43
7 IRON,"September 10, 2025",5.6,4.3,-1.3,70.3,-3.4,99.1,5589,134.1,25.9R,1.41
7 IRON,"September 10, 2025",6.2,2.0,-4.2,70.4,-2.8,98.8,4883,135.0,1.8L,1.4
7 IRON,"September 10, 2025",7.2,0.9,-6.3,71.4,-1.2,97.4,4009,135.2,16.4L,1.36
7 IRON,"September 10, 2025",5.8,0.1,-5.7,71.1,-4.4,98.4,5509,130.0,18.5L,1.38
7 IRON,"January 13, 2026",4.2,1.8,-2.4,72.3,-3.8,101.1,4838,140.2,3.8R,1.4
7 IRON,"January 13, 2026",4.0,0.0,-4.0,71.9,-3.2,102.5,4662,143.2,16.3L,1.43
7 IRON,"January 13, 2026",3.0,1.7,-1.3,72.0,-2.2,101.4,4734,141.3,7.7R,1.41
7 IRON,"January 13, 2026",3.6,2.1,-1.5,72.4,-3.0,102.0,4641,143.0,9.7R,1.41
7 IRON,"January 13, 2026",4.2,3.0,-1.2,72.4,-4.0,98.2,5239,133.4,17.2R,1.36
7 IRON,"January 15, 2026",1.0,-0.5,-1.5,73.7,-0.2,104.7,4252,150.4,11.1L,1.42
7 IRON,"January 15, 2026",2.2,-0.6,-2.8,73.9,-1.6,105.4,4441,150.2,18.0L,1.43
7 IRON,"January 15, 2026",1.6,2.1,0.5,73.6,-2.0,106.4,4979,150.2,19.2R,1.45
7 IRON,"February 1, 2026",5.2,2.2,-3.0,71.0,-1.0,102.0,4624,142.9,4.0R,1.44
7 IRON,"February 1, 2026",6.6,2.0,-4.6,71.4,-1.8,103.0,4468,144.8,5.6L,1.44
7 IRON,"February 1, 2026",5.6,1.0,-4.6,70.8,-2.6,100.8,4678,139.1,11.2L,1.42
7 IRON,"February 1, 2026",7.0,1.8,-5.2,70.8,-2.6,100.7,4736,138.7,7.1L,1.42
7 IRON,"February 1, 2026",7.8,3.4,-4.4,69.8,-1.4,100.5,4359,140.8,6.3R,1.44
7 IRON,"February 1, 2026",4.8,-0.1,-4.9,69.9,-1.8,99.9,4189,139.0,20.2L,1.43
7 IRON,"February 1, 2026",7.0,3.0,-4.0,70.7,-2.0,101.8,4503,142.8,5.9R,1.44
7 IRON,"February 1, 2026",6.0,1.2,-4.8,70.1,-2.2,100.2,4682,137.8,11.0L,1.43
7 IRON,"February 1, 2026",8.0,1.1,-6.9,69.9,-2.0,99.5,3989,137.7,18.7L,1.42
7 IRON,"February 1, 2026",6.2,2.9,-3.3,69.6,-2.6,100.7,4579,140.2,8.1R,1.45
7 IRON,"February 1, 2026",7.2,1.3,-5.9,70.9,-2.2,103.1,4647,143.5,16.6L,1.45
7 IRON,"February 1, 2026",7.0,0.6,-6.4,70.5,-2.6,102.0,4533,139.9,22.8L,1.45
7 IRON,"February 1, 2026",6.0,0.0,-6.0,70.1,-3.2,102.2,4277,142.4,25.1L,1.46
7 IRON,"February 1, 2026",4.4,-0.7,-5.1,69.9,-2.0,101.3,4306,140.7,26.9L,1.45
7 IRON,"February 1, 2026",4.6,1.2,-3.4,70.4,-3.0,100.5,4632,139.3,4.5L,1.43
7 IRON,"February 1, 2026",7.6,2.3,-5.3,70.2,-2.0,101.8,4209,143.5,5.6L,1.45
7 IRON,"February 1, 2026",5.0,-0.3,-5.3,70.5,-2.8,103.4,4229,144.2,27.1L,1.47
7 IRON,"February 1, 2026",6.2,5.0,-1.2,70.4,-2.4,100.6,4822,139.7,32.0R,1.43
7 IRON,"February 1, 2026",7.6,0.3,-7.3,70.4,-2.8,101.0,4054,140.4,26.8L,1.43
7 IRON,"February 1, 2026",7.4,1.1,-6.3,70.4,-1.8,103.2,4387,145.0,19.8L,1.47
7 IRON,"February 1, 2026",5.6,-0.4,-6.0,71.1,-2.0,103.1,4218,144.4,30.4L,1.45
7 IRON,"February 1, 2026",7.4,1.3,-6.1,71.2,-2.6,103.0,4198,144.4,17.5L,1.45
7 IRON,"February 1, 2026",6.2,0.5,-5.7,70.3,-2.2,102.0,4516,142.0,20.3L,1.45
7 IRON,"February 1, 2026",6.6,5.2,-1.4,70.2,-3.2,100.4,4835,139.3,32.5R,1.43
7 IRON,"February 1, 2026",7.0,2.0,-5.0,71.1,-3.4,102.2,4731,140.9,6.5L,1.44
7 IRON,"February 1, 2026",6.4,0.4,-6.0,70.7,-2.2,103.8,4252,145.2,25.0L,1.47
7 IRON,"February 1, 2026",7.0,4.3,-2.7,69.2,-1.8,100.2,4355,140.2,20.7R,1.45
7 IRON,"February 1, 2026",6.2,1.1,-5.1,70.8,-1.2,103.5,4235,147.0,14.6L,1.46
7 IRON,"February 1, 2026",5.8,-0.7,-6.5,70.3,-3.4,103.3,4045,142.8,33.3L,1.47
7 IRON,"February 1, 2026",4.8,1.5,-3.3,71.1,-4.4,101.2,4649,140.8,2.1L,1.42
7 IRON,"March 14, 2026",2.8,3.8,1.0,71.1,-5.2,99.9,5300,135.7,30.3R,1.41
7 IRON,"March 14, 2026",1.4,0.6,-0.8,72.3,-4.6,98.6,5240,133.2,1.5R,1.36
7 IRON,"March 14, 2026",4.4,5.6,1.2,70.8,-3.2,97.1,5260,131.3,42.4R,1.37
7 IRON,"March 14, 2026",3.6,0.6,-3.0,72.7,-4.8,103.2,5090,141.9,7.7L,1.42
7 IRON,"March 14, 2026",2.2,0.2,-2.0,71.8,-4.4,101.8,5120,139.7,6.9L,1.42
7 IRON,"March 27, 2026",1.4,1.3,-0.1,73.4,-2.0,103.1,5603,141.3,9.6R,1.41
7 IRON,"March 27, 2026",2.8,1.1,-1.7,73.0,-2.8,104.0,5286,143.7,1.2R,1.42
7 IRON,"March 27, 2026",2.8,0.9,-1.9,72.8,-1.4,103.9,4624,146.3,3.0L,1.43
7 IRON,"March 27, 2026",2.6,-0.1,-2.7,73.2,-2.6,102.7,5201,141.7,12.1L,1.4
7 IRON,"April 13, 2026",0.2,-1.6,-1.8,72.8,-1.6,103.8,4321,147.8,20.0L,1.43
7 IRON,"April 13, 2026",0.4,1.3,0.9,71.5,-2.2,101.8,4615,143.0,12.9R,1.42
7 IRON,"April 13, 2026",-0.2,2.6,2.8,71.8,-2.0,101.7,5430,139.6,30.5R,1.42
7 IRON,"April 13, 2026",1.2,-1.3,-2.5,72.0,-1.8,102.8,4910,143.2,19.9L,1.43
7 IRON,"April 13, 2026",-1.4,0.5,1.9,72.1,-3.0,98.9,5120,134.7,11.0R,1.37
7 IRON,"April 13, 2026",1.8,-0.4,-2.2,72.8,-0.6,105.6,4730,149.5,14.4L,1.45
7 IRON,"April 13, 2026",2.4,-0.9,-3.3,72.5,-1.4,103.6,3965,148.6,22.5L,1.43
7 IRON,"April 13, 2026",2.4,0.5,-1.9,73.2,-2.8,106.2,5000,149.2,5.0L,1.45
7 IRON,"April 14, 2026",1.8,-0.2,-2.0,72.4,-1.6,102.7,5360,141.6,9.9L,1.42
7 IRON,"April 14, 2026",1.0,-1.0,-2.0,71.9,-1.2,99.7,4710,137.7,15.5L,1.39
7 IRON,"April 14, 2026",1.2,0.7,-0.5,73.0,-1.8,106.0,4940,149.3,3.2R,1.45
8 IRON,"August 23, 2025",2.6,-0.2,-2.8,70.1,-2.6,93.3,5604,123.5,8.8L,1.33
8 IRON,"August 23, 2025",3.6,-1.2,-4.8,70.2,-1.8,94.3,5431,125.9,21.9L,1.34
8 IRON,"August 23, 2025",5.0,-0.3,-5.3,70.6,-3.0,96.9,5331,131.0,18.9L,1.37
8 IRON,"August 23, 2025",2.4,-0.4,-2.8,71.5,-3.2,95.2,5942,126.0,11.0L,1.33
8 IRON,"August 23, 2025",4.2,0.8,-3.4,70.7,-1.8,95.3,5545,127.5,5.0L,1.35
8 IRON,"August 23, 2025",0.4,-1.3,-1.7,70.1,-2.8,92.2,5755,121.2,12.3L,1.32
8 IRON,"August 23, 2025",2.6,-3.0,-5.6,69.7,-2.6,95.5,5349,128.2,36.5L,1.37
8 IRON,"August 23, 2025",4.6,-2.1,-6.7,70.6,-3.4,95.6,5352,128.4,33.3L,1.35
8 IRON,"August 23, 2025",5.2,-1.4,-6.6,71.5,-3.2,99.1,5071,135.9,32.1L,1.39
8 IRON,"August 23, 2025",2.8,-1.8,-4.6,69.8,-1.8,93.7,5277,125.4,24.2L,1.34
8 IRON,"August 23, 2025",2.0,1.2,-0.8,69.7,-2.8,92.3,5654,121.8,5.5R,1.33
8 IRON,"August 23, 2025",0.4,-0.8,-1.2,69.9,-2.4,92.3,5634,121.7,7.9L,1.32
8 IRON,"August 23, 2025",3.8,-1.9,-5.7,71.5,-1.8,94.7,5345,126.7,29.0L,1.32
8 IRON,"August 23, 2025",3.8,-2.1,-5.9,71.2,-2.2,98.2,5348,132.7,34.8L,1.38
8 IRON,"August 23, 2025",3.6,-2.5,-6.1,71.4,-2.2,96.5,5234,130.0,37.0L,1.35
8 IRON,"August 23, 2025",3.0,-2.3,-5.3,71.6,-3.8,95.6,5453,127.9,30.3L,1.33
8 IRON,"August 23, 2025",0.6,-2.9,-3.5,68.9,-2.6,94.8,5345,127.0,30.0L,1.38
8 IRON,"August 23, 2025",5.4,0.5,-4.9,72.2,-2.2,97.4,5222,132.3,12.3L,1.35
8 IRON,"August 23, 2025",3.8,0.4,-3.4,70.1,-2.8,93.2,5531,123.7,6.4L,1.33
8 IRON,"August 23, 2025",1.6,-2.9,-4.5,70.0,-2.6,94.4,5539,125.7,31.7L,1.35
8 IRON,"August 23, 2025",3.2,1.6,-1.6,69.1,-3.2,92.5,5716,122.0,6.2R,1.34
8 IRON,"August 23, 2025",3.4,-1.1,-4.5,69.2,-2.0,94.3,5289,126.5,19.5L,1.36
8 IRON,"August 23, 2025",3.0,3.0,0.0,70.1,-1.8,91.6,5553,120.8,18.9R,1.31
8 IRON,"August 23, 2025",4.8,-0.9,-5.7,70.0,-2.6,93.7,5387,124.9,20.6L,1.34
8 IRON,"August 23, 2025",3.6,-1.4,-5.0,70.7,-1.8,97.6,5608,131.4,25.4L,1.38
8 IRON,"August 23, 2025",3.4,-1.3,-4.7,69.8,-3.2,96.6,5237,130.8,23.8L,1.38
8 IRON,"August 23, 2025",1.0,-1.9,-2.9,67.7,-3.4,91.2,5399,120.3,18.8L,1.35
8 IRON,"August 23, 2025",4.0,-3.0,-7.0,70.6,-3.2,98.1,5343,132.8,43.0L,1.39
8 IRON,"August 23, 2025",0.4,-1.2,-1.6,67.8,-3.4,92.4,5407,122.5,12.1L,1.36
8 IRON,"August 23, 2025",3.4,-1.6,-5.0,70.3,-3.8,92.2,5661,121.3,21.6L,1.31
8 IRON,"August 23, 2025",1.8,-2.9,-4.7,68.9,-2.0,95.3,5039,129.1,34.2L,1.38
8 IRON,"August 23, 2025",4.6,-1.5,-6.1,70.7,-3.8,97.8,5246,132.2,30.3L,1.38
8 IRON,"August 23, 2025",2.4,-1.1,-3.5,70.3,-3.2,95.1,5649,126.5,17.3L,1.35
8 IRON,"August 23, 2025",-0.4,-0.2,0.2,68.3,-2.4,91.8,5369,121.7,0.7L,1.35
8 IRON,"August 23, 2025",4.0,-1.5,-5.5,70.7,-2.4,96.3,5094,130.5,27.3L,1.36
8 IRON,"August 23, 2025",3.0,-3.4,-6.4,69.6,-3.8,94.6,5686,125.4,39.3L,1.36
8 IRON,"August 23, 2025",4.2,-2.4,-6.6,70.6,-2.0,94.8,5211,127.1,35.1L,1.34
8 IRON,"August 23, 2025",2.6,-2.0,-4.6,68.9,-2.6,94.1,5057,126.6,26.3L,1.37
8 IRON,"August 23, 2025",2.8,2.0,-0.8,69.2,-2.0,92.3,5689,121.7,10.9R,1.33
8 IRON,"August 23, 2025",2.6,-1.1,-3.7,69.0,-1.6,94.0,2571,135.0,18.2L,1.36
8 IRON,"August 23, 2025",3.2,-3.5,-6.7,71.2,-3.8,97.7,5303,132.2,45.0L,1.37
8 IRON,"August 24, 2025",5.4,0.7,-4.7,71.9,-2.0,97.7,6325,129.2,9.5L,1.36
8 IRON,"August 24, 2025",5.4,2.1,-3.3,72.4,-2.0,98.3,6294,130.3,3.9R,1.36
8 IRON,"August 24, 2025",5.6,2.3,-3.3,72.1,-2.2,96.8,6241,127.9,5.5R,1.34
8 IRON,"August 25, 2025",4.2,2.7,-1.5,71.5,-2.4,96.7,6053,128.5,13.7R,1.35
8 IRON,"August 25, 2025",4.7,-0.1,-4.8,72.7,-1.9,97.3,5838,130.0,15.8L,1.34
8 IRON,"August 25, 2025",5.6,1.7,-3.9,72.1,-0.6,98.4,5749,132.3,1.5L,1.37
8 IRON,"September 17, 2025",6.4,3.3,-3.1,70.3,-4.0,95.6,6505,124.9,13.2R,1.36
8 IRON,"September 17, 2025",5.4,0.3,-5.1,71.1,-3.6,98.0,5952,130.3,14.6L,1.38
8 IRON,"September 17, 2025",6.2,3.5,-2.7,71.0,-4.2,95.2,6548,123.9,15.3R,1.34
8 IRON,"September 17, 2025",6.8,3.9,-2.9,70.4,-3.2,95.7,6237,126.1,17.3R,1.36
8 IRON,"September 17, 2025",5.2,1.7,-3.5,71.0,-4.0,95.6,6429,124.6,1.1R,1.35
8 IRON,"September 17, 2025",6.0,3.3,-2.7,70.9,-3.8,96.5,6359,127.0,14.2R,1.36
8 IRON,"September 17, 2025",6.4,5.3,-1.1,70.7,-3.0,96.0,6852,125.1,31.7R,1.36
8 IRON,"September 17, 2025",5.4,1.4,-4.0,70.8,-3.4,97.2,5959,129.3,2.9L,1.37
8 IRON,"September 17, 2025",6.8,1.8,-5.0,70.5,-1.8,93.5,5893,122.7,2.0L,1.33
8 IRON,"September 17, 2025",4.6,1.5,-3.1,70.6,-3.4,97.0,6125,128.6,0.0R,1.37
8 IRON,"September 17, 2025",6.4,2.4,-4.0,70.8,-2.4,96.3,6284,127.0,3.9R,1.36
8 IRON,"January 15, 2026",2.0,-1.3,-3.3,72.3,-2.4,99.2,6066,132.7,20.1L,1.37
8 IRON,"January 15, 2026",0.8,0.8,0.0,72.1,-2.4,98.1,5899,131.4,5.3R,1.36
8 IRON,"January 15, 2026",2.0,0.7,-1.3,73.0,-1.8,98.5,5505,133.2,0.6R,1.35
8 IRON,"January 15, 2026",1.2,1.0,-0.2,72.6,-1.8,97.4,5689,130.4,6.1R,1.34
8 IRON,"January 15, 2026",0.8,-1.0,-1.8,72.5,-0.8,100.5,5551,137.0,14.4L,1.39
8 IRON,"January 15, 2026",1.6,0.9,-0.7,72.5,-2.6,98.4,5809,132.1,4.3R,1.36
8 IRON,"January 15, 2026",1.4,0.4,-1.0,73.0,-1.4,97.6,5278,132.7,0.4L,1.34
8 IRON,"January 15, 2026",2.4,-2.2,-4.6,72.2,-1.6,99.2,5167,136.0,31.8L,1.37
8 IRON,"March 27, 2026",3.6,0.8,-2.8,72.1,-2.2,98.5,5734,132.7,4.2L,1.37
8 IRON,"March 27, 2026",3.0,0.7,-2.3,71.9,-2.4,98.8,5755,133.1,3.0L,1.38
8 IRON,"March 27, 2026",3.2,0.5,-2.7,72.3,-2.8,99.0,5727,133.5,5.3L,1.37
8 IRON,"April 5, 2026",4.6,4.1,-0.5,70.3,-2.6,94.0,5537,125.2,25.7R,1.34
8 IRON,"April 5, 2026",4.4,-0.8,-5.2,70.8,-2.4,97.7,4736,134.4,23.4L,1.38
