PW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: June 15, 2026"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,6,-1.1,-7.1,68.1,-1,84.3,7637,103,14.1L,1.24,
2,,,,6.3,-0.9,-7.2,68.8,-2.5,85,7958,103.8,12.9L,1.24,
3,,,,5.4,0.9,-4.5,68.5,-3.2,83.2,7984,101.3,0.5R,1.22,
4,,,,5.2,-1.7,-6.9,68.4,-2.8,85.4,7774,104.9,17.8L,1.25,
5,,,,4.4,0.9,-3.5,68.7,-2.8,83.6,8153,101.5,1.5R,1.22,
6,,,,5.6,0.5,-5.1,68.4,-2.4,84.6,7909,103.3,3.1L,1.24,
,,,,,,,,,,,,,,
SW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 21, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,4.6,-4.5,-9.1,67,-4.2,67.9,9685,74.6,14.4L,1.01,
2,,,,6,-3.3,-9.3,67.1,-1.8,70.9,9217,79.3,12.4L,1.06,
3,,,,5.8,-3.1,-8.9,68,-3.4,70.7,9489,79.1,11.3L,1.04,
4,,,,5.6,-0.6,-6.2,64.2,-3,65.9,9462,71.3,0.3R,1.03,
5,,,,5,-1.2,-6.2,67.2,-1.8,71.4,9471,79.5,3.9L,1.06,
6,,,,5.6,-1.6,-7.2,65.2,-1.6,66.9,9215,72.9,3.6L,1.03,
7,,,,5.4,-4.4,-9.8,66.5,-4.2,68.7,9333,75.9,14.8L,1.03,
8,,,,5.2,-2,-7.2,68.1,-2.4,71,9756,79.3,6.6L,1.04,
9,,,,6,-1.5,-7.5,68,-2.4,70.4,9548,78.3,4.4L,1.03,
10,,,,5.4,-1.3,-6.7,67.2,-2.6,70.1,9621,77.9,3.4L,1.04,
11,,,,4.6,-2.5,-7.1,67.2,-3.4,69.6,9587,77.4,8.3L,1.03,
12,,,,6.8,-3.1,-9.9,67.3,-3.2,66.2,9403,71.8,7.8L,0.98,
13,,,,6,-1.4,-7.4,67.4,-2.8,70.1,9726,77.8,3.6L,1.04,
14,,,,7,-1.7,-8.7,66.1,-1.2,67.4,9149,73.7,3.6L,1.02,
15,,,,6,-1.4,-7.4,66.1,-4.8,66.4,9201,72.3,2.9L,1,
16,,,,5.6,2.9,-2.7,64.5,-3,67.2,9536,73.4,12.0R,1.04,
17,,,,5.8,-1,-6.8,66.3,-1.2,68.7,9439,75.6,1.9L,1.04,
18,,,,5.2,0.9,-4.3,66.6,-5,64.7,9326,69.6,5.0R,0.97,
19,,,,7.6,-2.4,-10,67.1,-4.6,66.6,9647,72.4,5.3L,0.99,
,,,,,,,,,,,,,,
LW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 21, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,4,-0.6,-4.6,56.2,-3.2,50.8,5169,47.9,0.2L,0.9,
2,,,,4.4,-1.8,-6.2,57.1,-5,51.1,8297,47.6,0.6L,0.89,
3,,,,5.9,-2.5,-8.4,64.8,-3.7,60.7,7005,62.8,5.9L,0.94,
4,,,,3,0.4,-2.6,50.7,-3.6,46.3,5891,41,2.0R,0.91,
5,,,,4.2,-0.2,-4.4,58,-3.2,50.3,6671,47,1.5R,0.87,
6,,,,4.8,-0.5,-5.3,63.9,-2.4,58.7,6409,59.1,0.0L,0.92,
7,,,,2.4,0,-2.4,49.6,-4.4,44.3,7374,37.4,1.5R,0.89,
8,,,,1.6,-0.3,-1.9,56.4,-3.6,48,8001,42.8,0.5R,0.85,
9,,,,4.4,-2.9,-7.3,57.8,-5,50.4,8632,45.9,2.1L,0.87,
10,,,,5.8,-1.9,-7.7,67.5,-2.8,62.4,5823,64.3,6.0L,0.92,
11,,,,3.2,-1.2,-4.4,57.3,-3.2,51,6319,48.1,1.2L,0.89,
12,,,,2.2,-0.9,-3.1,48.4,-4.6,41.5,5596,33.9,0.3L,0.86,
13,,,,6.4,-2.9,-9.3,65.5,-2.2,61.9,9514,64.9,4.6L,0.95,
14,,,,5.8,-4.1,-9.9,67.7,-2.4,62.3,9747,65.3,8.0L,0.92,
15,,,,2.4,-1.3,-3.7,57.7,-5.8,52.3,8371,48.8,1.2L,0.91,
16,,,,1.2,-0.1,-1.3,49.1,-4,43.5,7105,36.3,0.5R,0.89,
17,,,,2.2,-0.8,-3,49.6,-3.6,46.2,7302,40.4,0.1R,0.93,
18,,,,4.6,-3.3,-7.9,45.7,-1.6,44.8,6887,38.3,2.1L,0.98,
19,,,,3.2,-0.5,-3.7,47,-3.4,44.5,6688,37.8,1.0R,0.95,
20,,,,5.2,-1.3,-6.5,58.6,-3.4,54,8902,52.4,0.8R,0.92,
21,,,,3.8,-1.6,-5.4,57.7,-1.2,54,8899,52.4,0.5L,0.94,
22,,,,4.2,-2.3,-6.5,49.5,-4.8,44.8,7311,37.9,0.8L,0.91,
23,,,,3.8,0.9,-2.9,49.6,-2.6,43.7,7717,36.6,3.6R,0.88,
24,,,,2.4,0.2,-2.2,49.3,-2,46.7,7883,41.2,1.8R,0.95,
25,,,,6,-1,-7,62.9,-4.4,57.7,6383,58.6,1.2L,0.92,
26,,,,5,2.5,-2.5,57.3,-3.2,52.6,6356,50.3,7.6R,0.92,
27,,,,5,-1.2,-6.2,62,-4.8,55.9,5011,55.7,2.6L,0.9,
28,,,,2.2,0.8,-1.4,49,-2.6,45.6,6259,39.8,2.4R,0.93,
29,,,,2.6,0.5,-2.1,51.5,-3.8,48.3,8322,43.2,2.6R,0.94,
30,,,,2,-0.4,-2.4,47.2,-4.2,42.1,7033,33.9,0.7R,0.89,
31,,,,3.6,-1.3,-4.9,58.5,-4.4,52,8111,49.4,0.5L,0.89,
32,,,,4.4,-1.5,-5.9,58.5,-4.4,52.3,7379,50,0.8L,0.89,
33,,,,3.6,-1.1,-4.7,64.6,-3.8,56.5,5011,55.6,2.5L,0.88,
34,,,,2.8,0.1,-2.7,47.6,-4.4,43.1,6718,35.6,1.7R,0.9,
35,,,,1.2,0.3,-0.9,49,-5,44.3,5706,37.9,1.0R,0.9,
36,,,,4.4,-1,-5.4,50,-4.2,46.6,7183,40.8,0.8R,0.93,
37,,,,3.6,-2.1,-5.7,59.1,-4.2,52.9,7915,50.7,2.3L,0.9,
38,,,,2.8,-0.6,-3.4,46.3,-3.2,43.6,5292,37,0.2R,0.94,
39,,,,6.2,-4.6,-10.8,58.9,-3.8,51.2,8649,47.5,4.2L,0.87,
,,,,,,,,,,,,,,
SW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 23, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,2.8,-3.1,-5.9,63.4,-4,67.4,8939,74.1,10.5L,1.06,
2,,,,3.2,-4.8,-8,62.4,-3.4,65.6,8782,71.2,15.3L,1.05,
3,,,,2.8,-4.6,-7.4,64.4,-4,67.1,8919,73.6,15.7L,1.04,
4,,,,-0.8,-2.1,-1.3,64.3,0.4,65,8407,70.2,7.3L,1.01,
5,,,,1.8,0.1,-1.7,62.7,-3.2,62.4,8691,66,1.0R,1,
6,,,,3.8,-3.2,-7,63.5,-2.2,67.1,8327,73.4,11.0L,1.06,
7,,,,2.8,-3.9,-6.7,64.1,-3.4,67.1,8889,73.6,13.3L,1.05,
8,,,,0.4,0.7,0.3,63.1,-1.6,64.6,9133,69.4,2.4R,1.02,
9,,,,1.2,0,-1.2,63.5,-2.4,66.4,9092,72.1,0.4R,1.04,
10,,,,1.8,-0.7,-2.5,64.3,-3.2,67.3,8974,73.4,1.9L,1.05,
11,,,,-0.2,0.3,0.5,65,0.2,65.5,8967,70.9,1.0R,1.01,
12,,,,1,-2.6,-3.6,60.5,-2.6,60.7,8357,63.3,6.9L,1,
13,,,,1.6,-2.1,-3.7,57.3,-3,57.9,8616,58.6,4.2L,1.01,
,,,,,,,,,,,,,,
8 IRON,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 23, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,0.4,2.2,1.8,67.9,-3,91.1,5827,119.1,18.2R,1.34,
2,,,,-,-,-,37.1,-,51,2785,41.6,2.0L,1.38,
3,,,,2.6,-0.2,-2.8,70.1,-2.6,93.3,5604,123.5,8.8L,1.33,
4,,,,3.6,-1.2,-4.8,70.2,-1.8,94.3,5431,125.9,21.9L,1.34,
5,,,,3.4,-1.2,-4.6,66.7,-3.2,88.5,4981,116.1,17.1L,1.33,
6,,,,1,3.5,2.5,64.1,-4.2,84.8,5761,106.8,23.2R,1.32,
7,,,,5,-0.3,-5.3,70.6,-3,96.9,5331,131,18.9L,1.37,
8,,,,3.8,-2,-5.8,72.1,-3,97.4,2635,141.1,33.3L,1.35,
9,,,,2.4,-0.4,-2.8,71.5,-3.2,95.2,5942,126,11.0L,1.33,
10,,,,1,3.4,2.4,63.8,-3.6,86,5582,110.1,24.0R,1.35,
11,,,,4.2,0.8,-3.4,70.7,-1.8,95.3,5545,127.5,5.0L,1.35,
12,,,,2.2,1.5,-0.7,69.6,-3,87,5688,111.3,7.3R,1.25,
13,,,,0.4,-1.3,-1.7,70.1,-2.8,92.2,5755,121.2,12.3L,1.32,
14,,,,0,2.5,2.5,57.3,-6.8,73.7,4589,70.2,10.5R,1.29,
15,,,,2.6,-3,-5.6,69.7,-2.6,95.5,5349,128.2,36.5L,1.37,
16,,,,4.6,-2.1,-6.7,70.6,-3.4,95.6,5352,128.4,33.3L,1.35,
17,,,,5.2,-1.4,-6.6,71.5,-3.2,99.1,5071,135.9,32.1L,1.39,
18,,,,2.8,-1.8,-4.6,69.8,-1.8,93.7,5277,125.4,24.2L,1.34,
19,,,,2,1.2,-0.8,69.7,-2.8,92.3,5654,121.8,5.5R,1.33,
20,,,,0.4,-0.8,-1.2,69.9,-2.4,92.3,5634,121.7,7.9L,1.32,
21,,,,3.8,-1.9,-5.7,71.5,-1.8,94.7,5345,126.7,29.0L,1.32,
22,,,,3.2,-0.4,-3.6,61.6,-5.4,83.5,4963,102.7,7.4L,1.36,
23,,,,3.8,-2.1,-5.9,71.2,-2.2,98.2,5348,132.7,34.8L,1.38,
24,,,,1.6,1.6,0,67.2,-4.2,85.5,5465,107.9,9.2R,1.27,
25,,,,2.8,1.3,-1.5,69.2,-2.8,90.1,5644,117.7,4.6R,1.3,
26,,,,3.6,-2.5,-6.1,71.4,-2.2,96.5,5234,130,37.0L,1.35,
27,,,,3,-2.3,-5.3,71.6,-3.8,95.6,5453,127.9,30.3L,1.33,
28,,,,0.6,-2.9,-3.5,68.9,-2.6,94.8,5345,127,30.0L,1.38,
29,,,,5.4,0.5,-4.9,72.2,-2.2,97.4,5222,132.3,12.3L,1.35,
30,,,,3.8,0.4,-3.4,70.1,-2.8,93.2,5531,123.7,6.4L,1.33,
31,,,,1.6,-2.9,-4.5,70,-2.6,94.4,5539,125.7,31.7L,1.35,
32,,,,3.2,1.6,-1.6,69.1,-3.2,92.5,5716,122,6.2R,1.34,
33,,,,3.4,-1.1,-4.5,69.2,-2,94.3,5289,126.5,19.5L,1.36,
34,,,,3,3,0,70.1,-1.8,91.6,5553,120.8,18.9R,1.31,
35,,,,1.6,-5.3,-6.9,60.5,-3.6,79.5,4726,91.5,33.4L,1.31,
36,,,,4.8,-0.9,-5.7,70,-2.6,93.7,5387,124.9,20.6L,1.34,
37,,,,3.6,-1.4,-5,70.7,-1.8,97.6,5608,131.4,25.4L,1.38,
38,,,,3.4,-1.3,-4.7,69.8,-3.2,96.6,5237,130.8,23.8L,1.38,
39,,,,1,-1.9,-2.9,67.7,-3.4,91.2,5399,120.3,18.8L,1.35,
40,,,,4,-3,-7,70.6,-3.2,98.1,5343,132.8,43.0L,1.39,
41,,,,0.4,-1.2,-1.6,67.8,-3.4,92.4,5407,122.5,12.1L,1.36,
42,,,,3.4,-1.6,-5,70.3,-3.8,92.2,5661,121.3,21.6L,1.31,
43,,,,0.6,2,1.4,66,-4.4,85.9,5868,109.4,13.5R,1.3,
44,,,,1.8,-2.9,-4.7,68.9,-2,95.3,5039,129.1,34.2L,1.38,
45,,,,4.6,-1.5,-6.1,70.7,-3.8,97.8,5246,132.2,30.3L,1.38,
46,,,,1.8,-2.1,-3.9,59.5,-5.4,74.8,4945,83.6,12.1L,1.26,
47,,,,2.4,-1.1,-3.5,70.3,-3.2,95.1,5649,126.5,17.3L,1.35,
48,,,,-0.4,-0.2,0.2,68.3,-2.4,91.8,5369,121.7,0.7L,1.35,
49,,,,2.2,0.2,-2,66.5,-3.2,91,5467,119.8,3.0L,1.37,
50,,,,4,-1.5,-5.5,70.7,-2.4,96.3,5094,130.5,27.3L,1.36,
51,,,,3,-3.4,-6.4,69.6,-3.8,94.6,5686,125.4,39.3L,1.36,
52,,,,4.2,-2.4,-6.6,70.6,-2,94.8,5211,127.1,35.1L,1.34,
53,,,,2.6,-2,-4.6,68.9,-2.6,94.1,5057,126.6,26.3L,1.37,
54,,,,2.8,2,-0.8,69.2,-2,92.3,5689,121.7,10.9R,1.33,
55,,,,2.6,-1.1,-3.7,69,-1.6,94,2571,135,18.2L,1.36,
56,,,,3.2,-3.5,-6.7,71.2,-3.8,97.7,5303,132.2,45.0L,1.37,
,,,,,,,,,,,,,,
7 IRON,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 23, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,6.2,2.5,-3.7,72.1,-2.2,103.3,4814,144.9,3.3R,1.43,
2,,,,5.4,3.8,-1.6,72.6,-1.2,101.9,5205,141,21.4R,1.4,
3,,,,5.8,3.7,-2.1,73.3,-1.2,101.7,5103,141,18.7R,1.39,
4,,,,5.2,2.4,-2.8,72.8,-1.6,101.2,5136,139.8,6.7R,1.39,
5,,,,5.2,2.9,-2.3,73,-1.6,104,5052,145.3,11.6R,1.42,
,,,,,,,,,,,,,,
8 IRON,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 24, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,5.4,0.7,-4.7,71.9,-2,97.7,6325,129.2,9.5L,1.36,
2,,,,5.4,2.1,-3.3,72.4,-2,98.3,6294,130.3,3.9R,1.36,
3,,,,5.6,2.3,-3.3,72.1,-2.2,96.8,6241,127.9,5.5R,1.34,
,,,,,,,,,,,,,,
5 WOOD,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 24, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,5.7,2,-3.7,82.6,0.1,119.5,4739,173.3,13.4L,1.45,
2,,,,6.3,4.5,-1.8,81.8,0.3,119,4237,177.2,29.9R,1.45,
3,,,,7.3,0.5,-6.8,82.6,0.1,119.7,3569,178.9,50.9L,1.45,
4,,,,7.5,3.6,-3.9,82.2,0.1,121.4,4261,180.3,1.1R,1.48,
5,,,,7.3,4.2,-3.1,82.3,-0.5,119.8,3757,181.4,23.2R,1.45,
,,,,,,,,,,,,,,
9 IRON,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 24, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,6,1.8,-4.2,69.2,-1.6,89.1,6989,112.7,2.6R,1.29,
2,,,,5.6,1.9,-3.7,70.2,-1.4,92,6969,117.7,3.4R,1.31,
3,,,,5.8,1.1,-4.7,69.8,-3,91.3,6999,116.5,2.3L,1.31,
4,,,,5.4,2.9,-2.5,69.2,-2.4,90.7,7062,115.3,12.8R,1.31,
5,,,,6,0.9,-5.1,70,-1.2,90.8,6789,115.8,5.3L,1.3,
6,,,,6.2,2.6,-3.6,70,-1.4,90.1,7066,114.1,8.5R,1.29,
7,,,,5.4,0.3,-5.1,70.4,-0.8,91.8,6712,117.7,9.4L,1.3,
8,,,,6.4,1.2,-5.2,70,-1.4,91.4,6867,116.8,3.6L,1.3,
9,,,,6.4,1.8,-4.7,71.1,-2.4,91,7027,115.9,1.2R,1.28,
10,,,,5.8,1.2,-4.6,70.8,-1.4,92.5,6917,118.5,3.0L,1.31,
11,,,,5.8,1.4,-4.4,68.8,-1,89.3,6958,113,0.3R,1.3,
,,,,,,,,,,,,,,
DRIVER,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 24, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,3.8,2.4,-1.4,85.6,4.2,126.8,2303,201.4,7.6R,1.48,
2,,,,1.4,-0.7,-2.1,85.6,3.8,127.1,2245,202.4,11.0L,1.48,
3,,,,3.6,2.7,-0.9,85.3,4.8,126.8,1977,202.9,16.4R,1.49,
4,,,,2.4,-1.3,-3.7,85.6,3.4,125.6,2853,191.3,1.3L,1.47,
5,,,,1.8,-0.7,-2.5,85.1,2.8,126,2556,199.7,2.9L,1.48,
6,,,,2.4,0.7,-1.7,85.3,4.8,126.6,1902,198.1,7.6L,1.48,
7,,,,2.8,-3,-5.8,84.5,3.4,123.3,2388,194.4,53.4L,1.46,
8,,,,0.6,-2.9,-3.5,85,3.8,125.2,2084,194.6,26.5L,1.47,
9,,,,2.2,0.2,-2,85.9,3.8,127.4,2278,199.8,13.6R,1.48,
10,,,,2,1.4,-0.6,85.1,4.4,126.1,2111,202.3,27.7R,1.48,
,,,,,,,,,,,,,,
SW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 25, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,5.8,-1.8,-7.6,61.4,-3.2,67,8398,73.7,5.3L,1.09,
2,,,,4.4,-1.8,-6.2,61.8,-3,66.7,8786,73.1,5.4L,1.08,
3,,,,6.4,-0.6,-7,67.6,-3.2,73.1,9566,82.7,1.8L,1.08,
4,,,,6.4,-2.4,-8.8,63.9,-2.6,70.3,8883,78.8,9.1L,1.1,
5,,,,6,-1.3,-7.3,66.9,-1.4,72.8,9208,82.5,5.4L,1.09,
6,,,,5,-1,-6,67.7,-1.4,73.5,9069,83.2,4.4L,1.09,
7,,,,4.4,0.8,-3.6,62,-3.4,63.9,8878,68.5,4.3R,1.03,
8,,,,5.8,-2.4,-8.2,62.1,-2.8,68.8,9022,76.4,7.8L,1.11,
9,,,,5.1,-1.3,-6.4,62.6,-5.7,64.9,8902,70.1,2.4L,1.04,
10,,,,4.4,1.2,-3.2,62.4,-3,63.1,9139,66.9,5.7R,1.01,
11,,,,7.9,-2.3,-10.2,61.3,-9.7,67.6,8578,74.6,7.4L,1.1,
12,,,,4.6,-2.4,-7,61.8,-3.2,66.1,8756,72,6.9L,1.07,
13,,,,4.8,-2.8,-7.6,62.3,-2.8,67.1,8895,73.7,8.7L,1.08,
14,,,,3.8,-0.9,-4.7,62.1,-3.4,65.3,9041,70.6,1.4L,1.05,
15,,,,4.8,2.1,-2.7,66.5,-2.6,69.4,9818,77,9.5R,1.04,
16,,,,5.4,2.2,-3.2,62.2,-2,64.8,8926,69.9,9.4R,1.04,
,,,,,,,,,,,,,,
LW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 25, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,-,-,-,39.8,-,40,5602,30.4,1.5R,1,
2,,,,4.6,-0.1,-4.7,50.7,-4,44.1,5282,37.8,1.7R,0.87,
3,,,,6.4,-3.6,-10,41.4,-3.8,41.9,6593,32.8,1.1L,1.01,
4,,,,6.4,-2.4,-8.8,51.2,-4,49.4,8274,44.9,0.1R,0.96,
5,,,,3.4,0.2,-3.2,42.1,-5.2,40.5,6669,30.4,2.0R,0.96,
6,,,,5.8,-0.9,-6.7,41.8,0,43.6,5925,36.5,1.5R,1.04,
7,,,,5.5,-0.6,-6.1,63,-3.9,56.7,3727,57.3,1.9L,0.9,
8,,,,6.2,-3.8,-10,61.9,-4,60.7,7912,63.4,8.8L,0.98,
9,,,,5,-1.2,-6.2,39,0.4,40.9,4997,32.8,0.4R,1.05,
10,,,,3.8,0.4,-3.4,57.3,-2.6,50.5,5629,47.2,2.3R,0.88,
11,,,,1.8,-1,-2.8,41.6,-3,41.5,6635,32.8,0.1L,1,
12,,,,5.6,-1.6,-7.2,41.2,-2.4,40.3,6262,31.4,1.0R,0.98,
13,,,,3.6,0.7,-2.9,57.4,-3,52.4,6575,50.1,3.0R,0.91,
14,,,,4.4,-0.8,-5.2,50.2,-4,45.1,8134,37.9,1.8R,0.9,
15,,,,4.6,1,-3.6,58.9,-3.8,53.5,7657,51.8,4.7R,0.91,
16,,,,4,0,-4,58.6,-3.4,52.6,6101,50.1,1.6R,0.9,
17,,,,4.8,-0.5,-5.3,58.1,-2.8,51.3,6252,48.3,1.1R,0.88,
18,,,,5.8,-2.1,-7.9,66.3,-0.8,61.3,4273,63,7.8L,0.93,
19,,,,0.4,-2.3,-2.7,43.7,-6.6,44.3,6886,33.6,2.7L,1.01,
20,,,,5.8,-0.6,-6.4,50.7,-4.2,44.9,6024,38.8,1.6R,0.89,
21,,,,3.2,2.5,-0.7,41.5,-4.4,40,6839,30.5,4.4R,0.97,
22,,,,5.4,0.9,-4.5,51.9,-2,47.4,7692,42.3,5.0R,0.91,
23,,,,5,-1.3,-6.3,55.1,-4,48.1,5352,43.9,0.9L,0.87,
24,,,,3,0.1,-2.9,52.7,-4.6,45.7,7992,39,2.1R,0.87,
25,,,,4.6,1,-3.6,58.8,-3.2,48.6,4501,44.2,3.3R,0.83,
26,,,,4.2,-2.8,-7,41,-4.6,39.6,6758,29.5,0.7L,0.97,
27,,,,2,-1.9,-3.9,40.1,-3,39.3,6338,30,1.0L,0.98,
28,,,,2.8,0.5,-2.3,49,-3.2,44.3,4441,38,1.8R,0.9,
29,,,,5.3,-1,-6.3,62.9,-4.7,55,4125,55.2,2.6L,0.87,
30,,,,4.7,-3.3,-8,42.3,-0.9,39.5,4071,31.2,2.9L,0.93,
