PW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: June 15, 2026"
31,,,,4,-0.2,-4.2,56.3,-3.6,50.1,3299,46.7,0.0R,0.89,
32,,,,3.8,-0.5,-4.3,40.2,-6.6,42.8,6061,30.6,1.0R,1.06,
33,,,,5.2,-0.4,-5.6,62.4,-3.4,55.9,3875,55.7,1.1L,0.9,
34,,,,4,1,-3,55.8,-3.4,48.7,3371,44.4,2.8R,0.87,
35,,,,5.4,-2.5,-7.9,57.9,-1.8,56.5,9089,56.4,2.1L,0.98,
36,,,,3.7,-1.9,-5.6,43.7,-1.5,42.9,6596,35.1,0.5L,0.98,
37,,,,6.4,-1.8,-8.2,59.1,-3.8,55,5491,54.2,3.1L,0.93,
38,,,,4.8,-1.5,-6.3,58.9,-3.6,55.5,7289,54.9,1.5L,0.94,
39,,,,5.6,-0.3,-5.9,62.9,-2.6,60.9,9753,63.2,2.8R,0.97,
40,,,,4.2,-0.4,-4.6,49.5,-5,45.4,7639,38,2.0R,0.92,
41,,,,7.6,-2.8,-10.4,57.1,-3.8,53.8,4933,52.9,5.8L,0.94,
42,,,,1.6,0.5,-1.1,43.2,-3.6,40.7,4818,32.8,1.3R,0.94,
43,,,,3.8,-0.6,-4.4,39.2,-6.6,42.2,5924,29.6,0.9R,1.08,
44,,,,3,-2,-5,41.2,-5.2,39.4,6601,28.5,0.5L,0.95,
45,,,,5.8,0.3,-5.5,39.7,-3.2,38.4,6508,28.5,3.3R,0.97,
46,,,,6.2,-1.3,-7.5,61.3,-5.6,53.9,4454,53.1,2.6L,0.88,
47,,,,6.2,-4.3,-10.5,66.3,-2.6,64.2,6821,68,13.9L,0.97,
48,,,,2.8,1.3,-1.5,42.4,-2.8,43,6906,35.4,3.2R,1.01,
49,,,,2.4,-0.9,-3.3,45.1,-2.4,41.9,7186,33.6,0.4R,0.93,
50,,,,7.2,-3.8,-11,59.5,-3.6,60.2,8219,62.5,7.8L,1.01,
51,,,,8.1,-4.3,-12.4,38,-2.9,39.5,5971,28.7,0.8L,1.04,
52,,,,5.3,-0.6,-5.9,61.8,-3.9,56.3,5585,56.4,0.5L,0.91,
53,,,,3.8,-0.7,-4.5,45.3,-5,44,7054,35.4,1.2R,0.97,
54,,,,3.8,-0.3,-4.1,52.4,-0.8,46.9,7631,41.4,2.0R,0.9,
55,,,,3.2,-0.8,-4,44.6,-4.6,40.7,7084,31,0.9R,0.91,
56,,,,3.8,-1.8,-5.6,39.9,-4.6,38.8,6571,28.4,0.1R,0.97,
57,,,,3.8,-1.3,-5.1,45.5,-1.8,44.1,6823,36.9,0.3R,0.97,
58,,,,6.4,-1.6,-8,63,-5,56.1,4221,56.7,4.5L,0.89,
59,,,,5.1,1.3,-3.8,42.2,-4.7,39.2,6925,28.7,4.0R,0.93,
60,,,,5.2,0.1,-5.1,52.1,-3.4,45,5025,39,2.0R,0.86,
61,,,,4.6,-1.1,-5.7,50.1,-2,44.9,5597,39,0.2R,0.9,
62,,,,7.2,-2.6,-9.8,67,-3.4,62.6,4304,65.7,10.3L,0.93,
63,,,,4.6,-2.7,-7.3,51.4,-2.4,48.6,7971,43.9,1.4L,0.95,
64,,,,6.4,-2,-8.4,62.5,-2.2,58.4,4475,59.9,6.1L,0.93,
65,,,,3.2,-1.2,-4.4,41.7,-1.6,40.6,6248,32.1,0.3R,0.97,
66,,,,3.2,-3.4,-6.6,41.1,-6,38.2,6702,26.6,1.6L,0.93,
,,,,,,,,,,,,,,
GW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 25, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,5.4,-0.5,-5.9,68.8,-2.2,79.1,8311,93.7,5.6L,1.15,
2,,,,4,-0.4,-4.4,68.9,-2,78,8706,91.7,3.6L,1.13,
3,,,,4.8,-0.3,-5.1,68.3,-1.2,78.4,8371,91.8,3.9L,1.15,
,,,,,,,,,,,,,,
7 IRON,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 25, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,4.6,1.7,-2.9,72.5,-1.2,102.6,4625,144.3,0.6L,1.41,
2,,,,5.6,2.7,-2.9,73.2,-2.2,102.7,4957,143.1,7.7R,1.4,
,,,,,,,,,,,,,,
8 IRON,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 25, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,4.2,2.7,-1.5,71.5,-2.4,96.7,6053,128.5,13.7R,1.35,
2,,,,4.7,-0.1,-4.8,72.7,-1.9,97.3,5838,130,15.8L,1.34,
3,,,,5,2.4,-2.6,72.5,-1.4,103.2,4636,145.6,6.2R,1.42,
4,,,,5.6,1.7,-3.9,72.1,-0.6,98.4,5749,132.3,1.5L,1.37,
,,,,,,,,,,,,,,
6 HYBRID,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 25, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,7.3,3.1,-4.2,75.9,-1.7,110.4,4898,157.5,1.9R,1.45,
2,,,,8.3,1.6,-6.7,76.1,-0.9,106.3,4102,153.3,20.8L,1.4,
3,,,,7.3,2.6,-4.7,75.8,-1.1,105.1,4863,148,2.4L,1.39,
4,,,,4.4,4.3,-0.1,76.9,-0.4,109.8,4501,158.8,34.8R,1.43,
,,,,,,,,,,,,,,
9 IRON,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 25, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,5.8,-0.1,-5.9,69.1,-2,90.3,6623,115.5,12.3L,1.31,
2,,,,4.4,1.4,-3,69.2,-2.6,87.4,7232,109.5,2.8R,1.26,
3,,,,4,1.3,-2.7,68.1,-0.6,88.4,6973,111.3,2.4R,1.3,
4,,,,5.8,2,-3.8,69.7,-2.2,90.5,6624,115.6,4.5R,1.3,
5,,,,4.4,3,-1.4,69.6,-1.6,89.5,7089,112.9,14.9R,1.29,
6,,,,4.6,-0.3,-4.9,69.9,-1.4,92.3,6593,119,13.0L,1.32,
7,,,,5,2.3,-2.7,69.5,-1.6,91.8,6732,117.9,8.4R,1.32,
8,,,,-,-,-,69.1,-,89.3,7004,113,18.7R,1.29,
9,,,,-,-,-,71.4,-,92.3,6611,119.2,9.3R,1.29,
10,,,,5.1,0.2,-4.9,71.2,-3.1,90.6,6778,115.8,9.0L,1.27,
,,,,,,,,,,,,,,
SW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 29, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,-,-,-,66.8,-,68.4,8916,75.3,0.4L,1.02,
2,,,,3.4,-0.6,-4,66,-2.8,70.3,9013,78.2,1.9L,1.07,
3,,,,0,0.4,0.4,66.7,2.2,68.8,9104,75.6,1.6R,1.03,
4,,,,-0.4,0.2,0.6,66.4,2.6,66.8,9721,72.8,0.6R,1.01,
5,,,,2.2,-3,-5.2,66.5,-1.8,69.2,9621,76.4,10.3L,1.04,
6,,,,2,-2.2,-4.2,66.7,-2.2,65.5,9621,70.6,6.1L,0.98,
7,,,,3.8,-1,-4.8,66.4,-1.8,65.2,9452,70.3,1.4L,0.98,
8,,,,2.8,-0.2,-3,67,-2.8,67.3,9532,73.6,0.5R,1,
9,,,,2.6,-1,-3.6,67.4,-0.4,69.1,9544,75.8,2.9L,1.03,
10,,,,2.2,-0.2,-2.4,66.9,-0.8,66.2,9778,71.7,0.5R,0.99,
11,,,,3.6,-1.4,-5,65.8,-2.4,68.6,9209,75.6,4.2L,1.04,
12,,,,4,0.4,-3.6,66.1,-2.8,68.6,9509,75.4,2.8R,1.04,
13,,,,3.8,-0.8,-4.6,66.7,-2.2,70,9361,77.7,2.2L,1.05,
14,,,,4,-0.5,-4.5,66.3,-1.8,68.4,8674,75,1.1L,1.03,
15,,,,2,0.3,-1.7,66.1,-1.6,69.9,8293,78.6,1.2R,1.06,
16,,,,3,-1.2,-4.2,66.3,-2.8,68.3,8994,75.2,3.6L,1.03,
17,,,,3.6,-2.1,-5.7,66.2,-3.8,70.7,8946,79.1,8.0L,1.07,
18,,,,1.4,-3.3,-4.7,66.5,-3.2,67.1,9487,73.5,11.1L,1.01,
19,,,,3.2,-0.8,-4,66.3,-3.2,66.9,9198,73,1.7L,1.01,
20,,,,5.4,-2.3,-7.7,66,-2,67.8,8941,74.5,6.8L,1.03,
21,,,,3.4,-0.9,-4.3,64.9,-1,65.2,9501,70.1,1.4L,1,
22,,,,-,-,-,67.9,-,67.6,8893,73.8,4.3R,1,
23,,,,2,-1.9,-3.9,64.9,-0.6,69.5,9128,77.1,6.6L,1.07,
24,,,,2.6,-2.2,-4.8,67.1,-2,69.1,8759,76.3,8.0L,1.03,
25,,,,3.2,-0.5,-3.7,66.3,-2.2,69.8,9258,76.9,1.3L,1.05,
26,,,,4,-0.9,-4.9,66.5,-3.8,71.4,8915,79.9,3.3L,1.07,
27,,,,4.2,-2.2,-6.4,65.6,-2.4,68.3,8735,75.4,7.3L,1.04,
28,,,,4.2,-0.5,-4.7,66,-3,69.7,9414,77.4,0.9L,1.06,
29,,,,2.6,0.3,-2.3,67.9,-1.8,70.1,9218,78,1.7R,1.03,
30,,,,3.2,-0.3,-3.5,66.3,-1.4,67.8,8935,74,0.1L,1.02,
31,,,,4.2,-4.1,-8.3,66.4,-3.8,70.9,8743,79.3,16.4L,1.07,
32,,,,2.6,-0.1,-2.7,66.2,-2.4,68.5,9494,75.4,0.6R,1.03,
33,,,,0.6,-1.7,-2.3,66.6,-1.6,67.8,9383,74.6,6.0L,1.02,
,,,,,,,,,,,,,,
LW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 29, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,6,1.4,-4.6,61.7,-1.8,55.5,4713,54.6,4.7R,0.9,
2,,,,6.8,0.1,-6.7,62.5,-3.6,57.3,2867,58.4,0.4L,0.92,
3,,,,4.5,1,-3.5,62.6,-3.9,54.6,5152,52.9,3.6R,0.87,
4,,,,8.4,-0.4,-8.8,65.2,-1.4,60,3109,62.7,3.0L,0.92,
5,,,,5.7,0.2,-5.5,62.9,-2.9,57,9265,57,4.2R,0.9,
6,,,,8.1,-1.2,-9.3,58,-2.1,54.1,4821,53.4,1.7L,0.93,
7,,,,4.4,0.4,-4,63.3,-2.2,55,3531,53,1.1R,0.87,
8,,,,8.6,-0.5,-9.1,60.7,1.6,58.1,8985,58.9,4.4R,0.96,
9,,,,6.8,-1.8,-8.6,62.4,-3.2,60.1,3771,63,7.1L,0.96,
10,,,,8.3,-1.3,-9.6,64.5,-1.7,57,6884,56.8,0.3L,0.88,
11,,,,7,-2.4,-9.4,63.3,-1.6,60.8,9315,63.1,2.5L,0.96,
12,,,,6.2,0.7,-5.5,55.9,-3,50.8,2677,48,1.9R,0.91,
13,,,,7.6,0.6,-7,57.6,-3,52.2,4637,49.9,3.1R,0.91,
14,,,,8,-1.7,-9.7,62.3,-1.8,59.7,5356,61.4,4.6L,0.96,
15,,,,9.6,-0.6,-10.2,66.1,-2.6,64.3,4918,68.8,3.5L,0.97,
16,,,,9.2,-0.4,-9.6,63.2,-1.2,57.2,7608,57,3.3R,0.91,
17,,,,8.6,-2.4,-11,66.9,-1.8,64.8,4794,69.2,10.7L,0.97,
18,,,,8.2,2.9,-5.3,61.4,-2.4,52.9,3232,49.8,7.7R,0.86,
19,,,,5.2,-0.4,-5.6,55.9,-0.8,50.7,3818,48.3,0.3L,0.91,
20,,,,8.4,-1.1,-9.5,65.5,-0.8,63.3,9735,66.8,1.8R,0.97,
21,,,,7.6,1,-6.6,61.9,-5,50,3611,46.6,3.3R,0.81,
22,,,,5.3,0.6,-4.7,63.9,-4.7,57,3157,57.7,1.4R,0.89,
23,,,,6.8,1.5,-5.3,55.2,-2.8,52,3826,49.8,4.5R,0.94,
24,,,,6.1,1.8,-4.3,62.4,-2.5,56.1,8808,55.8,8.1R,0.9,
25,,,,7.4,-1.5,-8.9,55.4,-3.8,51.7,2775,50.7,3.9L,0.93,
26,,,,5.8,1,-4.8,56.6,-3.6,53.4,3451,52.3,2.8R,0.94,
27,,,,7.9,1.2,-6.7,62.1,-2.9,57.8,8651,58.5,7.6R,0.93,
28,,,,7.4,0.1,-7.3,66.2,-1.4,61.4,6027,62.5,1.4R,0.93,
29,,,,7.9,-0.2,-8.1,62.9,-3.5,59.1,5238,60.6,0.0R,0.94,
30,,,,8.8,0.7,-8.1,61.7,-1.4,56.8,4429,56.6,2.8R,0.92,
31,,,,10.4,-0.4,-10.8,65.9,-2.4,63.9,5941,67.2,1.2L,0.97,
32,,,,7.4,-2,-9.4,67.3,-0.2,65.1,8828,69.8,3.6L,0.97,
33,,,,6.7,0.5,-6.2,61.5,-4.1,57.9,4969,59.3,2.0R,0.94,
34,,,,9.2,-1.2,-10.4,56.6,-1.2,55.7,6128,55.4,0.4L,0.98,
,,,,,,,,,,,,,,
SW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: September 2, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,2.8,-1.3,-4.1,58.4,-2.4,61.5,8713,64.3,2.4L,1.05,
2,,,,4.6,-1.2,-5.8,58.3,-2.6,63.7,7773,68.5,2.9L,1.09,
3,,,,3.4,1.9,-1.5,59.4,-1.2,63.4,8183,67.9,7.1R,1.07,
4,,,,2.4,-1.4,-3.8,57.2,-2.6,60.6,8233,63.2,2.9L,1.06,
5,,,,4.6,-1.5,-6.1,59,-2.4,65.2,7893,70.9,4.2L,1.1,
6,,,,2.8,-5.3,-8.1,59.4,-1.6,66.7,7949,73.3,19.0L,1.12,
7,,,,6.7,-3.9,-10.6,67.9,-4.9,69.7,8288,78,15.5L,1.03,
8,,,,5,-1.5,-6.5,65.6,-3,71.9,8804,81.2,6.1L,1.1,
9,,,,5.2,-1.1,-6.3,66.7,-3,70.2,8917,78.3,3.7L,1.05,
10,,,,2.4,-2.5,-4.9,61.3,2.4,66.6,8176,73.1,8.6L,1.09,
,,,,,,,,,,,,,,
GW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: September 2, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,6.4,-1.4,-7.8,67.8,-2.2,76.4,8112,89.4,9.7L,1.13,
2,,,,2.6,-0.8,-3.4,68.6,-1.4,79.9,8244,95.1,6.3L,1.16,
3,,,,4.4,-2.4,-6.8,67.5,-3,79.4,7421,95,17.0L,1.18,
4,,,,4.4,-1.9,-6.3,67.7,-2.2,78.6,7912,93.3,12.8L,1.16,
5,,,,5,-1.2,-6.2,67.7,-2.6,79,7383,94.6,10.4L,1.17,
,,,,,,,,,,,,,,
PW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: September 2, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,4,1.5,-2.5,67.3,-3,81.2,7661,98.1,5.7R,1.21,
2,,,,4,-2.1,-6.1,66.5,-3,83.1,6998,102.3,18.2L,1.25,
3,,,,4,0.5,-3.5,65.9,-3.4,84.2,7307,103.6,1.5L,1.28,
4,,,,4,-0.6,-4.6,65.8,-4.6,82.2,7327,100.5,7.5L,1.25,
5,,,,3.6,-0.9,-4.5,67.4,-3.2,80.9,7543,97.8,8.3L,1.2,
6,,,,5.4,-0.3,-5.7,66.4,-2.4,83.4,7225,102.2,8.2L,1.26,
7,,,,3.6,0.5,-3.1,67.3,-3.4,82.3,7441,100.1,0.3L,1.22,
,,,,,,,,,,,,,,
9 IRON,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: September 2, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,3.2,1.2,-2,68.7,-3.8,88.1,6661,111.7,4.0R,1.28,
2,,,,4,1.2,-2.8,68.7,-1.8,89.2,6284,114.4,1.5R,1.3,
3,,,,4,-2,-6,68.9,-1.8,89.6,6043,115.5,24.6L,1.3,
4,,,,4,-1.4,-5.4,65.7,-3,86.7,5881,110.7,17.6L,1.32,
5,,,,4,-1.9,-5.9,65.9,-2.8,87.1,5979,111.1,21.6L,1.32,
6,,,,3,-0.3,-3.3,64.4,-3,85,5905,107.6,7.1L,1.32,
7,,,,3.6,0.8,-2.8,65.4,-3.6,86,6007,109.3,0.2R,1.31,
8,,,,3.6,-1.6,-5.2,66.3,-3,87.3,5997,111.5,18.4L,1.32,
9,,,,3,-0.9,-3.9,69.1,-3,90.6,6222,117,13.6L,1.31,
10,,,,3.8,-0.8,-4.6,66.3,-2.8,88.6,5642,114.8,14.5L,1.34,
11,,,,3.4,0.1,-3.3,68.4,-3.4,91.2,6358,117.9,6.7L,1.33,
,,,,,,,,,,,,,,
SW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: September 6, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,0.8,-0.5,-1.3,62.9,-2.2,64.5,9194,69.1,1.0L,1.03,
2,,,,2.6,-2,-4.6,67.4,-1.4,77.6,7268,91.8,12.4L,1.15,
3,,,,3,-3,-6,65.7,-2,70.5,8807,78.8,11.8L,1.07,
4,,,,2.2,-1.2,-3.4,65.3,-3,69.6,9213,77.2,4.2L,1.06,
5,,,,2.6,-1.5,-4.1,65.8,-2.6,71,9121,79.1,5.6L,1.08,
6,,,,-0.2,-0.5,-0.3,62.1,-2.6,65.1,9175,70.2,1.8L,1.05,
7,,,,0,1.6,1.6,62.2,-0.6,61.8,8861,64.8,4.4R,0.99,
,,,,,,,,,,,,,,
LW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: September 6, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,2.6,-2.6,-5.2,59.6,-0.8,58,8155,58.9,5.2L,0.97,
2,,,,-,-,-,-,-,50.9,5598,48.2,3.4L,-,
3,,,,5.2,-2.2,-7.4,61.8,-1,58.3,8456,59.4,2.7L,0.94,
4,,,,5.6,-3.9,-9.5,62.1,-3.8,60.6,7999,63.1,9.1L,0.98,
5,,,,3.8,0.6,-3.2,56.8,1,54.9,8363,54,3.7R,0.97,
6,,,,2.8,-3.3,-6.1,58.1,0,57,8662,57.2,6.0L,0.98,
7,,,,1,-1.3,-2.3,61,-4,55.1,6325,54.3,2.9L,0.9,
8,,,,4.4,0.6,-3.8,63,-3.6,55.1,4075,53.4,1.9R,0.87,
9,,,,0.6,-3,-3.6,61.5,-2.8,59.2,8346,60.6,7.7L,0.96,
10,,,,4,-0.7,-4.7,61.2,-3.8,55.9,6348,55.7,0.4L,0.91,
11,,,,4.8,-3.5,-8.3,64.3,-1,61.3,7674,63.8,8.6L,0.95,
12,,,,2.4,-2.4,-4.8,56.2,-2,52.3,8136,49.8,3.2L,0.93,
13,,,,-,-,-,-,-,48.1,6134,43.7,0.2R,-,
14,,,,8.6,-1.7,-10.3,61,-3.2,59.6,8569,61.4,0.3L,0.98,
15,,,,3,-1.6,-4.6,62.5,-1.2,60.6,6821,62.8,4.1L,0.97,
16,,,,2.6,-3.1,-5.7,60.9,-1.6,57.2,4631,57.9,9.0L,0.94,
17,,,,4.8,-0.9,-5.7,61.7,-3.8,56.4,7309,56.7,0.2L,0.91,
18,,,,4,-1,-5,64.3,-1.6,61.1,9439,63.5,0.3L,0.95,
19,,,,5.2,1.6,-3.6,60.4,-3.6,54.7,4652,53.5,5.0R,0.91,
20,,,,4.2,-3,-7.2,61.5,-2.8,58.5,6143,60.4,8.0L,0.95,
21,,,,-1.2,0.5,1.7,61.2,-0.8,53,7119,51.1,0.3R,0.87,
,,,,,,,,,,,,,,
LW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: September 10, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,4,-3.8,-7.8,56.6,1.6,52.6,6883,50.2,6.0L,0.93,
2,,,,2,0.5,-1.5,58.1,0.2,56.3,8681,56.1,2.5R,0.97,
3,,,,1.2,-0.9,-2.1,56.9,0.6,53.4,8625,51.5,0.9L,0.94,
4,,,,1.8,-1.5,-3.3,56.7,-1.6,53.9,8764,52.3,1.9L,0.95,
5,,,,3,0.2,-2.8,56.2,-1.8,51,8539,47.7,2.4R,0.91,
6,,,,3,-1.8,-4.8,57,-2.4,52.7,8665,50.4,1.5L,0.92,
7,,,,-0.4,2.3,2.7,56.4,2.2,49.2,7799,45,3.6R,0.87,
8,,,,2.6,-4.5,-7.1,57.3,-0.8,53.3,8266,51.4,7.5L,0.93,
9,,,,5,-2.2,-7.2,52.6,0.2,49.6,7461,45.8,0.9L,0.94,
10,,,,2.6,0.4,-2.2,57.3,-1.2,55.3,8676,54.5,2.7R,0.97,
11,,,,6.2,-4.7,-10.9,55.3,1,55,6724,54.5,9.0L,0.99,
12,,,,0.6,-0.8,-1.4,58.5,1,54.2,8499,52.7,1.1L,0.93,
13,,,,1.6,-0.4,-2,57.5,-0.4,50.1,7883,46.5,0.3R,0.87,
14,,,,0.4,-3,-3.4,57.1,-1.4,52.4,8197,50,5.6L,0.92,
15,,,,1,1.7,0.7,56.9,-2.4,52,8996,49.3,3.8R,0.91,
,,,,,,,,,,,,,,
7 IRON,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: September 10, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,5,5.3,0.3,70.6,-3,97.9,5841,131.1,37.4R,1.39,
2,,,,6.2,1,-5.2,70.8,-4.4,101.3,5099,136.7,13.2L,1.43,
