PW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: June 15, 2026"
3,,,,5,2.6,-2.4,70.8,-4,99.9,5169,135.7,8.8R,1.41,
4,,,,7.4,2.1,-5.3,71,-4.6,101.2,4841,139.6,4.5L,1.42,
5,,,,5.8,2.5,-3.3,70.5,-4,98.2,5465,131,6.0R,1.39,
6,,,,5.4,3.9,-1.5,67.1,-5.2,93,5637,120.7,20.9R,1.39,
7,,,,-,-,-,49.5,-,69.7,3841,72.5,8.4R,1.41,
8,,,,4,0.1,-3.9,70.7,-3.4,100,5295,135.6,13.8L,1.41,
9,,,,4.5,-1.4,-5.9,49.6,-0.1,63.8,2559,57.6,6.3L,1.29,
10,,,,5.8,2.8,-3,70.8,-2.2,99.8,4893,137.3,8.4R,1.41,
11,,,,5,3.5,-1.5,70.7,-4,98.4,5531,132.1,19.7R,1.39,
12,,,,6.2,2.7,-3.5,71.7,-3.2,103.4,4946,143.9,5.4R,1.44,
13,,,,5.2,0.3,-4.9,70,-3.4,99.7,4998,136.7,15.4L,1.42,
14,,,,3.6,-0.5,-4.1,70.3,-3.2,98.8,5648,131.6,17.7L,1.41,
15,,,,1.3,6.2,4.9,46.6,-3.9,64.2,4051,57.5,19.1R,1.38,
16,,,,6,2.7,-3.3,71.5,-2.8,102.9,4825,143.3,6.4R,1.44,
17,,,,5.2,1.5,-3.7,70.2,-3.6,100.5,5444,136.5,3.3L,1.43,
18,,,,5.6,3.7,-1.9,70.9,-2.6,101.8,5524,139.1,18.7R,1.43,
19,,,,6,4.9,-1.1,68.3,-5,93.9,6011,122.3,28.7R,1.38,
20,,,,7,3.7,-3.3,72.1,-2.6,101.8,5159,140.3,13.4R,1.41,
21,,,,4.2,2.1,-2.1,71,-2.6,101.8,5167,140.5,7.1R,1.43,
22,,,,6,3.7,-2.3,70.8,-4,97.4,5745,129.6,17.9R,1.38,
23,,,,5.8,3.3,-2.5,70.9,-3.2,100.5,5492,136.9,15.1R,1.42,
24,,,,4,1.9,-2.1,71.1,-2.8,101.7,5227,140.2,6.0R,1.43,
25,,,,3,1.4,-1.6,70.1,-3.2,99.8,5382,135.6,3.8R,1.42,
26,,,,4.6,4.1,-0.5,70.9,-2.4,100.3,5439,137.1,27.8R,1.41,
27,,,,5.6,2.7,-2.9,69.6,-4.6,93.7,5699,121.6,9.1R,1.35,
28,,,,7,1.7,-5.3,71.4,-4,101.8,4577,141.7,8.3L,1.43,
29,,,,5.6,4.3,-1.3,70.3,-3.4,99.1,5589,134.1,25.9R,1.41,
30,,,,-5.1,6.6,11.7,35.9,-3.9,47.2,3457,27.4,7.0R,1.32,
31,,,,-0.3,1.2,1.5,51.2,-0.9,71.2,3797,74.2,5.8R,1.39,
32,,,,6.2,2,-4.2,70.4,-2.8,98.8,4883,135,1.8L,1.4,
33,,,,7.2,0.9,-6.3,71.4,-1.2,97.4,4009,135.2,16.4L,1.36,
34,,,,5.8,0.1,-5.7,71.1,-4.4,98.4,5509,130,18.5L,1.38,
35,,,,3.4,-0.1,-3.5,68,-2.4,95.6,4738,129.5,12.1L,1.41,
,,,,,,,,,,,,,,
9 IRON,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: September 10, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,7.6,1.8,-5.8,68.6,-3.6,88.3,6389,112.6,0.2L,1.29,
2,,,,4.8,3,-1.8,69.7,-3.8,89.4,6719,113.9,14.2R,1.28,
3,,,,-3,-0.1,2.9,68.3,-6.2,80.1,7674,96.2,1.6R,1.17,
4,,,,5.8,0.6,-5.2,69.1,-4.8,87.1,6618,109.9,5.2L,1.26,
5,,,,7.2,1.2,-6,68.7,-3.8,89,6318,113.9,3.9L,1.3,
6,,,,6.4,0.9,-5.5,69.7,-3,89.7,6281,115.3,5.6L,1.29,
7,,,,4.6,2.8,-1.8,69,-4.8,87.9,6792,111.2,13.6R,1.27,
8,,,,6.2,1.6,-4.6,70,-4.2,87.9,6563,111.5,1.3R,1.26,
9,,,,7.8,0.8,-7,69.3,-3.2,88.5,6131,113.4,8.2L,1.28,
10,,,,5.2,2.7,-2.5,69.5,-5.2,85.2,6974,106.1,11.9R,1.23,
11,,,,5.6,3.5,-2.1,69.5,-3.2,89.8,6521,114.9,16.9R,1.29,
12,,,,6.8,1.3,-5.5,69.5,-3.8,90.9,6088,117.9,3.7L,1.31,
13,,,,5.2,2.9,-2.3,69.9,-2.6,89.1,6641,113.4,13.4R,1.28,
14,,,,5.6,-1.7,-7.3,68.6,-4.6,88.5,6246,113,23.3L,1.29,
,,,,,,,,,,,,,,
PW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: September 10, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,6.8,1.6,-5.2,67.6,-4.8,79.4,7873,94.9,4.2R,1.17,
2,,,,6,1.2,-4.8,67.3,-3.8,82.2,7719,99.8,2.1R,1.22,
3,,,,7,1.7,-5.3,68.3,-4.6,84.3,7794,103.2,3.3R,1.23,
4,,,,5.4,1.6,-3.8,68.2,-4.4,82.2,8158,99.5,4.9R,1.21,
5,,,,6.8,2.6,-4.2,67.5,-4.2,83.9,8052,102.3,9.5R,1.24,
6,,,,5.8,0.9,-4.9,67.5,-2.4,83,7609,101.3,0.3L,1.23,
7,,,,7.8,1.7,-6.1,67.2,-3.6,82.7,7726,100.6,3.0R,1.23,
8,,,,5.6,0.6,-5,68,-3,83,7894,101,1.6L,1.22,
9,,,,7.6,-0.9,-8.5,68.2,-5,84.5,7581,103.6,14.5L,1.24,
10,,,,5.4,2.7,-2.7,67.4,-4,82.7,8032,100.3,11.8R,1.23,
11,,,,6.2,2.7,-3.5,67.8,-3,83.5,7859,101.7,10.9R,1.23,
12,,,,7.2,1.5,-5.7,67.8,-3.8,83.7,7682,102.3,1.6R,1.23,
,,,,,,,,,,,,,,
SW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: September 17, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,5.2,-1.3,-6.5,65.9,-4.6,68.7,9942,75.9,2.9L,1.04,
2,,,,5.2,1.9,-3.3,66.5,-3,69.7,9801,77.5,8.6R,1.05,
3,,,,8.4,0.9,-7.5,66.1,-2.4,67.6,9435,74.3,6.2R,1.02,
4,,,,6.2,0.5,-5.7,66.6,-4,71,9819,79.5,3.5R,1.07,
5,,,,4.8,2.5,-2.3,66.7,-2.2,67,9532,73.3,10.5R,1.01,
6,,,,6,0.8,-5.2,66.1,-4,68.5,9859,75.5,5.0R,1.04,
,,,,,,,,,,,,,,
GW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: September 17, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,6.6,0.1,-6.5,68.3,-3.6,79.3,8161,94.3,3.6L,1.16,
2,,,,7,2.3,-4.7,68.2,-3.4,77,8498,90.3,9.2R,1.13,
3,,,,6.4,0.9,-5.5,68.1,-3.8,78.7,8319,93.2,1.5R,1.15,
4,,,,6.6,2.1,-4.5,66.1,-4,78.1,8542,92,8.3R,1.18,
5,,,,4.8,2.5,-2.3,68.1,-4,82,8429,98.7,10.9R,1.2,
,,,,,,,,,,,,,,
8 IRON,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: September 17, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,6.4,3.3,-3.1,70.3,-4,95.6,6505,124.9,13.2R,1.36,
2,,,,5.4,0.3,-5.1,71.1,-3.6,98,5952,130.3,14.6L,1.38,
3,,,,6.2,3.5,-2.7,71,-4.2,95.2,6548,123.9,15.3R,1.34,
4,,,,6.8,3.9,-2.9,70.4,-3.2,95.7,6237,126.1,17.3R,1.36,
5,,,,5.2,1.7,-3.5,71,-4,95.6,6429,124.6,1.1R,1.35,
6,,,,6,3.3,-2.7,70.9,-3.8,96.5,6359,127,14.2R,1.36,
7,,,,6.4,5.3,-1.1,70.7,-3,96,6852,125.1,31.7R,1.36,
8,,,,5.4,1.4,-4,70.8,-3.4,97.2,5959,129.3,2.9L,1.37,
9,,,,6.8,1.8,-5,70.5,-1.8,93.5,5893,122.7,2.0L,1.33,
10,,,,4.6,1.5,-3.1,70.6,-3.4,97,6125,128.6,0.0R,1.37,
11,,,,6.4,2.4,-4,70.8,-2.4,96.3,6284,127,3.9R,1.36,
,,,,,,,,,,,,,,
9 IRON,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: September 17, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,6.2,0.7,-5.5,69.8,-2.6,91.1,6928,116.3,6.8L,1.3,
2,,,,7.8,3.8,-4,70,-3.6,89,6921,112.8,15.5R,1.27,
3,,,,6,1.2,-4.8,70.1,-4.4,90.3,6958,115,1.5L,1.29,
4,,,,-0.6,2.3,2.9,66.5,-6,78.1,8151,91.2,12.7R,1.17,
5,,,,7.4,1.5,-5.9,70,-3.8,92.2,6611,118.8,3.2L,1.32,
6,,,,5.2,-2.2,-7.4,69.9,-3,91.3,6581,117.2,28.8L,1.3,
,,,,,,,,,,,,,,
SW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: October 2, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,3.2,-4.5,-7.7,66.4,-3.8,67.1,9162,73.5,15.0L,1.01,
2,,,,4.2,-0.7,-4.9,65.4,-3.4,67.4,9463,73.7,0.8L,1.03,
3,,,,2.2,-2.2,-4.4,66.2,-2.4,65.9,9516,71.4,6.4L,1,
4,,,,4,0.1,-3.9,65.8,-1.8,66.8,9708,72.2,2.2R,1.02,
5,,,,4.2,0,-4.2,64.6,-2.8,65.7,9251,71.1,1.8R,1.02,
6,,,,0,-4,-4,34.8,-2.8,36.9,5186,26.7,4.0L,1.06,
7,,,,6.2,0.9,-5.3,66.5,-2.4,70.1,9179,78.1,4.6R,1.05,
8,,,,4.4,0.3,-4.1,55.3,-4.4,54.5,7888,53.1,2.9R,0.99,
9,,,,5.6,-3.5,-9.1,66.6,-2.6,69.8,9515,77.5,11.8L,1.05,
10,,,,5.6,-3.8,-9.4,66.4,-1.6,69.8,9332,77.5,13.3L,1.05,
11,,,,5.6,1.1,-4.5,58.4,-1.6,59,8029,60.7,5.4R,1.01,
12,,,,7.2,-0.6,-7.8,68.3,-2.8,74.3,8920,84.9,3.2L,1.09,
13,,,,6.6,0.7,-5.9,66.8,-3,68.5,8710,76,3.9R,1.03,
14,,,,6.2,-0.3,-6.5,67.3,-3.2,70.8,8930,79.4,0.7L,1.05,
15,,,,0.4,-5.2,-5.6,40.7,-4.2,44.5,5919,37,7.6L,1.09,
16,,,,5.6,-3,-8.6,67,-2.2,71.6,9459,80.3,11.3L,1.07,
17,,,,4.8,-1.9,-6.7,65.4,-4,66.8,8958,73.1,5.4L,1.02,
18,,,,6.6,-1.4,-8,67.6,-1,72.5,8899,81.4,5.9L,1.07,
19,,,,3,1.9,-1.1,43,-0.2,46.6,5981,41.3,4.6R,1.09,
20,,,,5.6,-1.4,-7,65.8,-2.6,68.9,8815,76.4,4.3L,1.05,
21,,,,2.8,0.4,-2.4,66,0.4,69.5,9275,76.8,2.2R,1.05,
22,,,,-,-,-,-,-,39.1,4590,29.1,1.0R,-,
23,,,,4.8,-3.3,-8.1,66.5,-0.6,69.5,8856,77,11.8L,1.05,
24,,,,2,0.2,-1.8,38.9,-3,41.4,5988,32.6,1.3R,1.06,
25,,,,6.6,-2.2,-8.8,68,-4.4,71,8920,79.9,8.4L,1.04,
26,,,,5.2,0.6,-4.6,68.6,-4.8,77,8740,90,1.2R,1.12,
27,,,,6.4,-0.5,-6.9,66.5,-4,71.6,8790,80.9,2.0L,1.08,
28,,,,8.2,-1.2,-9.4,66.8,-3.6,70.4,8830,79,4.2L,1.05,
,,,,,,,,,,,,,,
LW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: October 2, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,4.2,-2.3,-6.5,58.1,-4.6,52.1,7881,49.3,2.2L,0.9,
2,,,,4.2,-1.2,-5.4,55.2,-0.6,50,6466,46.1,0.2L,0.91,
3,,,,4,-2.5,-6.5,63.6,-2.4,55.5,4883,54.4,6.1L,0.87,
4,,,,4.6,-0.6,-5.2,57.5,-3.8,56.1,6904,55,0.1R,0.98,
5,,,,3.4,-2.9,-6.3,60.7,-3.8,53.3,5723,51,5.7L,0.88,
6,,,,2,-1.5,-3.5,65.4,0,64.7,7874,69.9,4.6L,0.99,
7,,,,2.4,1.4,-1,57.6,2.2,48.3,7311,43.7,3.8R,0.84,
8,,,,4.4,-1.5,-5.9,55.9,-3,50.9,7619,47.8,0.4L,0.91,
9,,,,3.8,0.4,-3.4,53.8,0.2,46.1,4599,40.9,2.0R,0.86,
10,,,,3.4,-2.9,-6.3,58.4,-2.6,53.8,8246,51.7,4.0L,0.92,
11,,,,1.8,-1.2,-3,55.8,-2.2,47.4,6095,42.3,1.2L,0.85,
12,,,,1.4,-0.4,-1.8,57.1,-1.6,49.3,7773,45.2,0.2R,0.86,
13,,,,4.3,-2,-6.3,63.4,-3.9,56.7,6278,56.3,4.0L,0.9,
14,,,,-,-,-,63.6,-,58.8,9351,59.9,1.2R,0.92,
15,,,,3.2,-2.8,-6,58.7,-3.4,53.9,5805,52,5.8L,0.92,
16,,,,4.6,1.1,-3.5,55.3,-1.8,47.9,4893,43,3.6R,0.87,
17,,,,4.8,-2.9,-7.7,54.4,-2.4,50.2,5527,46.7,4.4L,0.92,
18,,,,4.2,-4,-8.2,56.3,-2.8,52.4,7195,50.1,6.3L,0.93,
19,,,,1,-1.6,-2.6,57.2,-1,51.8,8384,48.4,2.3L,0.91,
20,,,,5,2.9,-2.1,56.9,-2.4,50.2,6611,46.8,8.2R,0.88,
21,,,,3.8,-1.6,-5.4,54,-3.6,49.4,6339,45.2,1.4L,0.91,
22,,,,4,-2.6,-6.6,53.4,-1.4,52.3,7521,50,3.1L,0.98,
23,,,,3.9,-2.7,-6.6,65,-4.3,59,5901,60.4,7.3L,0.91,
24,,,,4.2,-0.9,-5.1,57,-1.6,51.1,5473,48,0.5L,0.9,
25,,,,3.2,-2.6,-5.8,57,-1,50.7,5947,47.2,4.0L,0.89,
26,,,,1.4,-0.8,-2.2,56,0,47.2,6044,42.1,0.7L,0.84,
,,,,,,,,,,,,,,
GW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: October 2, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,4.4,1.1,-3.3,67.8,-3,78.1,8090,92.5,3.3R,1.15,
2,,,,5.2,-0.3,-5.5,69.1,-3,77.6,8740,90.7,3.2L,1.12,
3,,,,5,-1.9,-6.9,68.3,-4,79.7,8109,94.9,13.7L,1.17,
4,,,,4.6,2.3,-2.3,69.5,-3.6,77.1,8930,89.6,10.3R,1.11,
,,,,,,,,,,,,,,
PW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: October 2, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,5.2,0,-5.2,69.2,-3.6,84,8082,102.4,5.1L,1.21,
2,,,,5.6,0.7,-4.9,69.6,-4,85.7,7789,105.5,1.9L,1.23,
,,,,,,,,,,,,,,
SW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: October 17, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,4.2,-3.7,-7.9,66.2,-4.8,67.7,8645,74.7,13.0L,1.02,
2,,,,5.2,-4,-9.2,66,-4.4,67.1,9372,73.4,12.4L,1.02,
3,,,,5.4,-1.4,-6.8,66.2,-4.8,67.8,9409,74.5,3.2L,1.03,
4,,,,6.5,0.8,-5.7,66.9,-5.3,66.6,9821,72.5,5.4R,1,
5,,,,5.3,-1.6,-6.9,66.7,-6.1,69.3,9393,76.9,4.9L,1.04,
6,,,,-0.4,-3.4,-3,67.3,-3.8,65.1,9204,70,11.2L,0.97,
7,,,,5.4,-1.2,-6.6,66.8,-4.2,68.8,9188,76,3.1L,1.03,
8,,,,1,-4,-5,66.9,-4.4,65.4,8631,71,13.3L,0.98,
9,,,,5.4,-1.6,-7,66.8,-4.8,68.6,9433,75.6,4.2L,1.03,
10,,,,3.6,-2.5,-6.1,66.4,-4.8,65.3,9349,70,6.7L,0.98,
11,,,,5.6,-1.3,-6.9,65,-5.2,65.5,8096,71.3,3.3L,1.01,
,,,,,,,,,,,,,,
LW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: October 17, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,4.2,-4,-8.2,62.3,-2.8,57.9,6783,58.9,9.6L,0.93,
2,,,,2.9,-0.1,-3,60.8,-2.7,50.3,3865,46.2,0.1R,0.83,
3,,,,8.6,-0.5,-9.1,56.9,-2.4,52.3,7822,49.9,4.1R,0.92,
4,,,,7,-1.5,-8.5,61.7,-3.8,58.6,7171,60,1.6L,0.95,
5,,,,3.8,-2.5,-6.3,60.1,-2.4,50.8,5659,48,4.0L,0.85,
6,,,,6,-3.2,-9.2,60.7,-3,54.5,5771,53.5,6.2L,0.9,
7,,,,8,-0.9,-8.9,63.1,-4,59.9,5415,62.2,2.2L,0.95,
8,,,,5.4,-3.9,-9.3,57,-3.2,55,7519,54.2,6.5L,0.96,
9,,,,3,-1.7,-4.7,57.3,-5.6,47.9,5421,43.6,2.2L,0.84,
10,,,,6.4,-1.6,-8,59.3,-4.6,50.2,6409,46.9,0.5L,0.85,
11,,,,5,-1.3,-6.3,57.6,-3.8,53.1,4397,51.6,2.6L,0.92,
12,,,,7.4,-1.6,-9,57.1,-3,53.2,4447,51.8,2.9L,0.93,
13,,,,5,-3,-8,63.2,-4.6,57,4078,58.5,9.1L,0.9,
14,,,,4.6,-5.9,-10.5,57.3,-2.6,53.8,8353,52.2,9.6L,0.94,
15,,,,3.8,-3.2,-7,60.2,-1.8,54,9231,52.3,3.5L,0.9,
16,,,,5.4,-0.6,-6,58.4,-3.8,51.3,4236,48.8,0.4L,0.88,
17,,,,7.2,-2.8,-10,60,-2.6,57,8956,57.1,2.0L,0.95,
18,,,,6.4,-3,-9.4,56.7,-5.6,49.9,8208,45.4,1.3L,0.88,
19,,,,6,-0.5,-6.5,59.2,-3.6,54.6,6264,53.9,0.7R,0.92,
20,,,,3.8,-5.4,-9.2,63.7,-4,57.6,3601,58.3,17.0L,0.9,
21,,,,7.2,-1.5,-8.7,64,-4,59.8,3745,62.7,6.1L,0.93,
22,,,,5.6,0.1,-5.5,56.4,-3.2,49,5573,45.2,2.2R,0.87,
23,,,,6.4,-1.5,-7.9,57.4,-3.8,53.8,4819,52.6,2.6L,0.94,
24,,,,4.6,0.2,-4.4,60.6,-2.6,54.8,3788,53.6,0.8R,0.9,
25,,,,4.2,-0.8,-5,55.7,-2.2,49.1,3987,44.6,1.0L,0.88,
26,,,,4.8,-4.8,-9.6,56.3,-1.6,53.1,8602,51,6.4L,0.94,
27,,,,4,-4.2,-8.2,59,-1.6,53,5144,50.8,9.0L,0.9,
28,,,,5.6,-1.6,-7.2,62.1,-4.4,56.3,3975,56.3,4.6L,0.91,
29,,,,5.4,-3.3,-8.7,63.8,-3.4,58.8,3989,59.9,10.6L,0.92,
30,,,,4.5,-0.3,-4.8,60.6,-3.7,55,6644,54.1,1.0R,0.91,
31,,,,6.6,-0.4,-7,61.6,-5.4,57.3,4008,58.1,1.4L,0.93,
,,,,,,,,,,,,,,
GW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: October 17, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,5,-0.2,-5.2,69.3,-2.6,78.4,8818,92.3,3.0L,1.13,
2,,,,5.4,-0.9,-6.3,68.9,-4,77.6,8736,91,6.4L,1.13,
3,,,,5.2,-1.1,-6.3,68.7,-5,78,8807,91.7,7.5L,1.14,
4,,,,5,-1.4,-6.4,68.9,-3.4,79.2,8667,93.8,10.3L,1.15,
,,,,,,,,,,,,,,
DRIVER,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: October 17, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,3.7,3.4,-0.3,88.5,4.3,130.5,2483,204.9,29.2R,1.47,
2,,,,4.8,5.5,0.7,88.1,3.2,127.2,2614,208.5,70.6R,1.44,
3,,,,4.8,2,-2.8,87.8,3.4,128.8,2632,208.2,30.9L,1.47,
4,,,,3,-0.6,-3.6,87.7,4,129.1,2812,208.4,4.3L,1.47,
5,,,,-2,-3.9,-1.9,95,0.2,142,1988,208,44.3L,1.49,
6,,,,3.6,0.3,-3.3,87.8,5.2,129.5,2391,211.1,0.3R,1.48,
7,,,,3.7,3.4,-0.3,86.4,4.7,128.4,2754,209.4,40.4R,1.49,
8,,,,4.4,2.2,-2.2,87.8,3.4,129.3,2618,209.6,5.6R,1.47,
9,,,,3.6,0.8,-2.8,88,2.8,130.5,2478,211.6,8.3L,1.48,
10,,,,3.9,4.1,0.2,88.3,3.9,130.7,2305,212.3,47.4R,1.48,
11,,,,3.6,3.2,-0.4,87.3,3.8,127.8,2081,207.4,33.2R,1.46,
12,,,,1.9,2.5,0.6,88.8,4.7,129.2,2461,208.8,49.9R,1.45,
13,,,,4.6,0.1,-4.5,87.1,5.2,129,2151,205.1,11.3L,1.48,
14,,,,5.2,3.4,-1.8,88.4,3.6,131.4,2411,210.1,10.9R,1.49,
15,,,,-2.4,-2.4,0,90.8,-1.4,134.4,1961,196.4,4.8L,1.48,
